rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
1054,Nolensville High School,Nolensville High School is ranked 13th within Tennessee. Students have the opportunity to take Advanced Placement&#174,Nolensville,TN,97.3,45.75,1463,27.0,18.0,67.0,56.26188354
1055,Roosevelt High School,"Roosevelt High School is ranked 17th within Washington. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Roosevelt High School is 66%. The total minority enrollment is 33%, and 15% of students are economically disadvantaged. Roosevelt High School is 1 of 21 high schools in the Seattle Public Schools.",Seattle,WA,91.72749,58.436,1541,68.0,20.0,88.0,63.08458761
1056,Palmer Ridge High School,Palmer Ridge High School is ranked 31st within Colorado. Students have the opportunity to take Advanced Placement&#174,Monument,CO,93.47826,55.851,1094,61.0,20.0,81.0,71.74245498
1057,Gibraltar High School,"Gibraltar High School is ranked 25th within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Gibraltar High School is 60%. The total minority enrollment is 18%, and 34% of students are economically disadvantaged. Gibraltar High School is the only high school in the Gibraltar Area School District.",Fish Creek,WI,93.3,51.667,180,36.0,10.0,57.0,
1058,Redwood Academy of Ukiah,"Redwood Academy of Ukiah is ranked 143rd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Redwood Academy of Ukiah is 40%. The total minority enrollment is 50%, and 66% of students are economically disadvantaged. Redwood Academy of Ukiah is the only high school in the Redwood Academy of Ukiah District.",Ukiah,CA,100.0,31.0,74,50.0,18.0,90.0,
1059,Northwest High School,"Northwest High School is ranked 20th within Maryland. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Northwest High School is 73%. The total minority enrollment is 76%, and 39% of students are economically disadvantaged. Northwest High School is 1 of 29 high schools in the Montgomery County Public Schools.",Germantown,MD,95.0,57.308,2484,,17.0,58.0,62.19638657
1060,Garnet Valley High School,"Garnet Valley High School is ranked 33rd within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Garnet Valley High School is 48%. The total minority enrollment is 27%, and 13% of students are economically disadvantaged. Garnet Valley High School is the only high school in the Garnet Valley School District.",Glen Mills,PA,96.28647,40.375,1546,93.0,13.0,91.0,72.36838037
1061,Gabrielino High School,"Gabrielino High School is ranked 144th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Gabrielino High School is 60%. The total minority enrollment is 97%, and 69% of students are economically disadvantaged. Gabrielino High School is 1 of 2 high schools in the San Gabriel Unified School District.",San Gabriel,CA,95.8,49.317,1527,48.0,23.0,66.0,65.30505172
1062,Kipp Connect H S,"Kipp Connect H S is ranked 124th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Kipp Connect H S is 100%. The total minority enrollment is 99%, and 90% of students are economically disadvantaged. Kipp Connect H S is 1 of 9 high schools in the KIPP Texas Public Schools.",Houston,TX,,71.341,554,3.0,14.0,57.0,20.50088652
1063,Winter Park High School,"Winter Park High School is ranked 65th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Winter Park High School is 74%. The total minority enrollment is 52%, and 37% of students are economically disadvantaged. Winter Park High School is 1 of 60 high schools in the Orange County Public Schools.",Winter Park,FL,98.07939,61.021,3369,47.0,22.0,63.0,46.95630013
1064,Fort Worth Academy of Fine Arts,Fort Worth Academy of Fine Arts is ranked 125th within Texas. Students have the opportunity to take Advanced Placement&#174,Fort Worth,TX,98.2,48.246,214,49.0,11.0,91.0,
1065,Wylie E. Groves High School,"Wylie E. Groves High School is ranked 27th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Wylie E. Groves High School is 59%. The total minority enrollment is 36%, and 13% of students are economically disadvantaged. Wylie E. Groves High School is 1 of 2 high schools in the Birmingham Public Schools.",Beverly Hills,MI,96.3,48.39,1109,51.0,17.0,77.0,58.65063838
1066,Westlake High School,"Westlake High School is ranked 107th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Westlake High School is 62%. The total minority enrollment is 25%, and 19% of students are economically disadvantaged. Westlake High School is the only high school in the Mount Pleasant Central School District.",Thornwood,NY,99.0,52.128,544,70.0,10.0,90.0,58.97051474
1067,Fossil Ridge High School,"Fossil Ridge High School is ranked 32nd within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Fossil Ridge High School is 49%. The total minority enrollment is 21%, and 9% of students are economically disadvantaged. Fossil Ridge High School is 1 of 11 high schools in the Poudre School District R-1.",Fort Collins,CO,95.45455,43.414,2053,69.0,20.0,89.0,75.67982456
1068,Pikeville High School,"Pikeville High School is ranked sixth within Kentucky. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pikeville High School is 43%. The total minority enrollment is 10%, and 31% of students are economically disadvantaged. Pikeville High School is the only high school in the Pikeville Independent.",Pikeville,KY,93.6,28.271,326,80.0,13.0,79.0,54.60526316
1069,Strath Haven High School,"Strath Haven High School is ranked 34th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Strath Haven High School is 63%. The total minority enrollment is 29%, and 17% of students are economically disadvantaged. Strath Haven High School is the only high school in the Wallingford-Swarthmore School District.",Wallingford,PA,91.33127,54.128,1159,77.0,14.0,88.0,75.23556881
1070,Buffalo Grove High School,Buffalo Grove High School is ranked 47th within Illinois. Students have the opportunity to take Advanced Placement&#174,Buffalo Grove,IL,95.0,46.777,1959,46.0,18.0,42.0,65.96826911
1071,Lake Washington High School,"Lake Washington High School is ranked 18th within Washington. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Lake Washington High School is 51%. The total minority enrollment is 45%, and 17% of students are economically disadvantaged. Lake Washington High School is 1 of 11 high schools in the Lake Washington School District.",Kirkland,WA,96.14458,44.222,2015,64.0,21.0,90.0,72.06733542
1072,Mountainside High School,"Mountainside High School is ranked seventh within Oregon. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Mountainside High School is 40%. The total minority enrollment is 41%, and 22% of students are economically disadvantaged. Mountainside High School is 1 of 11 high schools in the Beaverton School District 48J.",Beaverton,OR,95.36,37.809,1758,56.0,22.0,62.0,
1073,Pella High School,"Pella High School is ranked third within Iowa. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pella High School is 33%. The total minority enrollment is 12%, and 14% of students are economically disadvantaged. Pella High School is the only high school in the Pella Community School District.",Pella,IA,98.25581395,26.25,764,84.0,17.0,93.0,
1074,PSJA Thomas Jefferson Early College High School,"PSJA Thomas Jefferson Early College High School is ranked 126th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at PSJA Thomas Jefferson Early College High School is 96%. The total minority enrollment is 99%, and 97% of students are economically disadvantaged. PSJA Thomas Jefferson Early College High School is 1 of 7 high schools in the Pharr-San Juan-Alamo Independent School District.",Pharr,TX,100.0,52.576,539,61.0,13.0,64.0,10.2056962
1075,Eden Prairie Senior High School,"Eden Prairie Senior High School is ranked 15th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Eden Prairie Senior High School is 50%. The total minority enrollment is 50%, and 31% of students are economically disadvantaged. Eden Prairie Senior High School is 1 of 3 high schools in the Eden Prairie Public School District.",Eden Prairie,MN,94.02,40.874,2833,53.0,18.0,73.0,74.45564191
1076,Glenbard South High School,Glenbard South High School is ranked 48th within Illinois. Students have the opportunity to take Advanced Placement&#174,Glen Ellyn,IL,92.2,43.08,1075,46.0,15.0,50.0,55.56249001
1077,Barron Collier High School,"Barron Collier High School is ranked 66th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Barron Collier High School is 59%. The total minority enrollment is 42%, and 26% of students are economically disadvantaged. Barron Collier High School is 1 of 23 high schools in the Collier County Public Schools.",Naples,FL,96.39423,46.875,1650,65.0,25.0,69.0,50.08469791
1078,Jimmy Carter Early College High School,"Jimmy Carter Early College High School is ranked 127th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Jimmy Carter Early College High School is 87%. The total minority enrollment is 100%, and 87% of students are economically disadvantaged. Jimmy Carter Early College High School is 1 of 5 high schools in the La Joya Independent School District.",La Joya,TX,100.0,44.286,366,48.0,12.0,77.0,
1079,Blue Valley West High School,"Blue Valley West High School is ranked fifth within Kansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Blue Valley West High School is 46%. The total minority enrollment is 34%, and 9% of students are economically disadvantaged. Blue Valley West High School is 1 of 5 high schools in the Blue Valley.",Overland Park,KS,97.5,39.103,1514,43.0,15.0,44.0,73.21174714
1080,Natomas Pacific Pathways Prep,"Natomas Pacific Pathways Prep is ranked 145th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Natomas Pacific Pathways Prep is 61%. The total minority enrollment is 86%, and 36% of students are economically disadvantaged. Natomas Pacific Pathways Prep is 1 of 6 high schools in the Natomas Unified School District.",Sacramento,CA,100.0,47.581,621,48.0,18.0,86.0,55.5047732
1081,Newton South High School,Newton South High School is ranked 46th within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Newton Centre,MA,97.2,53.854,1832,80.0,12.0,79.0,75.25510204
1082,Oakland Charter High School,"Oakland Charter High School is ranked 146th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Oakland Charter High School is 74%. The total minority enrollment is 99%, and 82% of students are economically disadvantaged. Oakland Charter High School is the only high school in the Oakland Charter High District.",Oakland,CA,92.2,59.309,417,38.0,38.0,68.0,
1083,South Oldham High School,"South Oldham High School is ranked seventh within Kentucky. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at South Oldham High School is 77%. The total minority enrollment is 16%, and 20% of students are economically disadvantaged. South Oldham High School is 1 of 4 high schools in the Oldham County.",Crestwood,KY,99.1,61.022,1332,60.0,20.0,63.0,47.16983334
1084,Lafayette High School,"Lafayette High School is ranked eighth within Kentucky. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Lafayette High School is 46%. The total minority enrollment is 37%, and 37% of students are economically disadvantaged. Lafayette High School is 1 of 18 high schools in the Fayette County Public Schools.",Lexington,KY,96.7,39.626,2428,56.0,19.0,65.0,68.78132832
1085,YES Prep - Southwest,"YES Prep - Southwest is ranked 128th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at YES Prep - Southwest is 96%. The total minority enrollment is 100%, and 89% of students are economically disadvantaged. YES Prep - Southwest is 1 of 12 high schools in the YES Prep Public Schools Inc.",Houston,TX,97.4,61.735,556,54.0,18.0,51.0,15.64447668
1086,Mark Keppel High School,"Mark Keppel High School is ranked 147th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Mark Keppel High School is 54%. The total minority enrollment is 99%, and 49% of students are economically disadvantaged. Mark Keppel High School is 1 of 4 high schools in the Alhambra Unified School District.",Alhambra,CA,96.1,45.423,2205,60.0,26.0,74.0,68.38430506
1087,Okemos High School,"Okemos High School is ranked 28th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Okemos High School is 48%. The total minority enrollment is 43%, and 20% of students are economically disadvantaged. Okemos High School is the only high school in the Okemos Public Schools.",Okemos,MI,90.88,46.338,1465,60.0,19.0,79.0,86.3182549
1088,California School of the Arts - San Gabriel Valley,"California School of the Arts - San Gabriel Valley is ranked 148th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at California School of the Arts - San Gabriel Valley is 61%. The total minority enrollment is 72%, and 19% of students are economically disadvantaged. California School of the Arts - San Gabriel Valley is the only high school in the California School of The Arts - San Gabriel Valley District.",Duarte,CA,98.0,51.506,945,46.0,16.0,84.0,48.15563725
1089,Westlake High School,"Westlake High School is ranked 149th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Westlake High School is 62%. The total minority enrollment is 50%, and 17% of students are economically disadvantaged. Westlake High School is 1 of 5 high schools in the Conejo Valley Unified School District.",Westlake Village,CA,96.4,51.407,2083,58.0,23.0,74.0,71.70612359
1090,Pittsburgh Science And Technology Academy,"Pittsburgh Science And Technology Academy is ranked 35th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pittsburgh Science And Technology Academy is 58%. The total minority enrollment is 52%, and 100% of students are economically disadvantaged. Pittsburgh Science And Technology Academy is 1 of 13 high schools in the Pittsburgh School District.",Pittsburgh,PA,97.0,39.031,429,88.0,16.0,74.0,49.86792265
1091,Sharyland Advanced Academic Academy,"Sharyland Advanced Academic Academy is ranked 129th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Sharyland Advanced Academic Academy is 56%. The total minority enrollment is 98%, and 70% of students are economically disadvantaged. Sharyland Advanced Academic Academy is 1 of 3 high schools in the Sharyland Independent School District.",Mission,TX,100.0,39.326,478,82.0,29.0,83.0,32.5
1092,Im Terrell Academy For Stem And Vpa,"Im Terrell Academy For Stem And Vpa is ranked 130th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Im Terrell Academy For Stem And Vpa is 93%. The total minority enrollment is 71%, and 56% of students are economically disadvantaged. Im Terrell Academy For Stem And Vpa is 1 of 29 high schools in the Fort Worth Independent School District.",Fort Worth,TX,,53.864,485,45.0,13.0,82.0,36.47451447
1093,Williams Secondary Montessori,"Williams Secondary Montessori is ranked 38th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Williams Secondary Montessori is 79%. The total minority enrollment is 37%, and 12% of students are economically disadvantaged. Williams Secondary Montessori is 1 of 35 high schools in the Charlotte-Mecklenburg Schools.",Charlotte,NC,95.0,56.061,206,46.0,16.0,94.0,
1094,Salem High School,"Salem High School is ranked 29th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Salem High School is 46%. The total minority enrollment is 40%, and 19% of students are economically disadvantaged. Salem High School is 1 of 4 high schools in the Plymouth-Canton Community Schools.",Canton,MI,92.09,39.11,1851,63.0,21.0,77.0,76.38419118
1095,Hereford High School,"Hereford High School is ranked 21st within Maryland. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Hereford High School is 58%. The total minority enrollment is 15%, and 12% of students are economically disadvantaged. Hereford High School is 1 of 35 high schools in the Baltimore County Public Schools.",Parkton,MD,95.0,49.604,1225,7.0,16.0,81.0,74.75577974
1096,William Amos Hough High School,"William Amos Hough High School is ranked 39th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at William Amos Hough High School is 71%. The total minority enrollment is 31%, and 14% of students are economically disadvantaged. William Amos Hough High School is 1 of 35 high schools in the Charlotte-Mecklenburg Schools.",Cornelius,NC,94.9,55.025,2518,59.0,22.0,83.0,61.23496748
1097,West End Secondary School,"West End Secondary School is ranked 108th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at West End Secondary School is 96%. The total minority enrollment is 49%, and 29% of students are economically disadvantaged. West End Secondary School is 1 of 533 high schools in the New York City Public Schools.",New York,NY,100.0,80.482,393,57.0,12.0,97.0,40.41605933
1098,Decorah High School,"Decorah High School is ranked fourth within Iowa. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Decorah High School is 22%. The total minority enrollment is 10%, and 22% of students are economically disadvantaged. Decorah High School is the only high school in the Decorah Community School District.",Decorah,IA,97.16312057,20.408,576,83.0,15.0,93.0,
1099,F. W. Buchholz High School,"F. W. Buchholz High School is ranked 67th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at F. W. Buchholz High School is 66%. The total minority enrollment is 53%, and 36% of students are economically disadvantaged. F. W. Buchholz High School is 1 of 18 high schools in the Alachua County Public Schools.",Gainesville,FL,95.93346,58.122,2539,44.0,32.0,65.0,63.27567939
1100,Tanque Verde High School,"Tanque Verde High School is ranked 18th within Arizona. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Tanque Verde High School is 68%. The total minority enrollment is 28%, and 17% of students are economically disadvantaged. Tanque Verde High School is the only high school in the Tanque Verde Unified District.",Tucson,AZ,96.8,56.21,712,56.0,19.0,60.0,53.46851357
1101,Robinson High School,"Robinson High School is ranked 68th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Robinson High School is 70%. The total minority enrollment is 53%, and 41% of students are economically disadvantaged. Robinson High School is 1 of 66 high schools in the Hillsborough County Public Schools.",Tampa,FL,86.98225,61.293,1354,49.0,20.0,63.0,44.3935262
1102,West De Pere High School,"West De Pere High School is ranked 26th within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at West De Pere High School is 48%. The total minority enrollment is 20%, and 19% of students are economically disadvantaged. West De Pere High School is 1 of 2 high schools in the West De Pere School District.",De Pere,WI,96.7,41.383,1055,51.0,16.0,59.0,61.01143708
1103,Aliso Niguel High School,"Aliso Niguel High School is ranked 150th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Aliso Niguel High School is 51%. The total minority enrollment is 48%, and 30% of students are economically disadvantaged. Aliso Niguel High School is 1 of 9 high schools in the Capistrano Unified School District.",Aliso Viejo,CA,97.4,44.236,2774,58.0,24.0,82.0,75.03997761
1104,Catalina Foothills High School,"Catalina Foothills High School is ranked 19th within Arizona. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Catalina Foothills High School is 58%. The total minority enrollment is 46%, and 11% of students are economically disadvantaged. Catalina Foothills High School is the only high school in the Catalina Foothills Unified District.",Tucson,AZ,89.3,48.032,1887,59.0,20.0,72.0,68.01934199
1105,Century High School,"Century High School is ranked first within North Dakota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Century High School is 63%. The total minority enrollment is 17%, and 12% of students are economically disadvantaged. Century High School is 1 of 5 high schools in the Bismarck 1.",Bismarck,ND,95.5,50.17,1427,44.0,17.0,64.0,66.00321283
1106,Fairfield Ludlowe High School,"Fairfield Ludlowe High School is ranked 21st within Connecticut. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Fairfield Ludlowe High School is 57%. The total minority enrollment is 21%, and 15% of students are economically disadvantaged. Fairfield Ludlowe High School is 1 of 2 high schools in the Fairfield School District.",Fairfield,CT,96.5,50.386,1498,,11.0,,69.03661199
1107,Eastview Senior High School,"Eastview Senior High School is ranked 16th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Eastview Senior High School is 54%. The total minority enrollment is 45%, and 28% of students are economically disadvantaged. Eastview Senior High School is 1 of 10 high schools in the Rosemount-Apple Valley-Eagan.",Apple Valley,MN,93.04,46.364,2308,51.0,21.0,71.0,66.53609471
1108,Oconee County High School,"Oconee County High School is ranked 31st within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Oconee County High School is 57%. The total minority enrollment is 18%, and 10% of students are economically disadvantaged. Oconee County High School is 1 of 2 high schools in the Oconee County Public Schools.",Watkinsville,GA,97.4,48.684,1251,65.0,16.0,69.0,65.71954584
1109,Paul Duke Stem High School,"Paul Duke Stem High School is ranked 32nd within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Paul Duke Stem High School is 51%. The total minority enrollment is 83%, and 57% of students are economically disadvantaged. Paul Duke Stem High School is 1 of 27 high schools in the Gwinnett County School District.",Norcross,GA,88.39,37.5,1222,50.0,17.0,62.0,54.11791872
1110,Nicolet High School,"Nicolet High School is ranked 27th within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Nicolet High School is 62%. The total minority enrollment is 45%, and 20% of students are economically disadvantaged. Nicolet High School is the only high school in the Nicolet Uhs School District.",Glendale,WI,97.9,53.646,1089,38.0,13.0,51.0,69.74784611
1111,Central Bucks High School-East,"Central Bucks High School-East is ranked 36th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Central Bucks High School-East is 52%. The total minority enrollment is 17%, and 7% of students are economically disadvantaged. Central Bucks High School-East is 1 of 3 high schools in the Central Bucks School District.",Doylestown,PA,97.91667,45.624,1365,83.0,15.0,79.0,76.44344755
1112,Elwood/John Glenn High School,"Elwood/John Glenn High School is ranked 109th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Elwood/John Glenn High School is 67%. The total minority enrollment is 40%, and 21% of students are economically disadvantaged. Elwood/John Glenn High School is the only high school in the Elwood Union Free School District.",Elwood,NY,97.0,59.203,672,74.0,12.0,94.0,72.06914331
1113,Harmony Science Academy - Carrollton,"Harmony Science Academy - Carrollton is ranked 131st within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Harmony Science Academy - Carrollton is 60%. The total minority enrollment is 87%, and 51% of students are economically disadvantaged. Harmony Science Academy - Carrollton is 1 of 8 high schools in the Harmony Public Schools - North Texas.",Carrollton,TX,98.5,48.0,258,62.0,14.0,72.0,43.9668175
1114,Grand Traverse Academy,"Grand Traverse Academy is ranked 30th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Grand Traverse Academy is 44%. The total minority enrollment is 10%, and 38% of students are economically disadvantaged. Grand Traverse Academy is the only high school in the Grand Traverse Academy.",Traverse City,MI,93.18,35.465,189,48.0,15.0,74.0,
1115,Public Safety Academy,"Public Safety Academy is ranked 151st within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Public Safety Academy is 48%. The total minority enrollment is 81%, and 39% of students are economically disadvantaged. Public Safety Academy is 1 of 6 high schools in the Fairfield-Suisun Unified School District.",Fairfield,CA,100.0,37.037,266,64.0,26.0,88.0,
1116,Yorktown High School,"Yorktown High School is ranked 110th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Yorktown High School is 54%. The total minority enrollment is 28%, and 14% of students are economically disadvantaged. Yorktown High School is the only high school in the Yorktown Central School District.",Yorktown Heights,NY,95.0,41.014,1094,98.0,12.0,95.0,65.75358852
1117,Dunlap High School,Dunlap High School is ranked 49th within Illinois. Students have the opportunity to take Advanced Placement&#174,Dunlap,IL,94.3,33.418,1375,61.0,18.0,56.0,75.04320276
1118,Mission Vista High School,"Mission Vista High School is ranked 152nd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Mission Vista High School is 56%. The total minority enrollment is 60%, and 37% of students are economically disadvantaged. Mission Vista High School is 1 of 7 high schools in the Vista Unified School District.",Oceanside,CA,96.2,41.499,1640,49.0,23.0,88.0,65.5244972
1119,Preparatory for Early College High School,"Preparatory for Early College High School is ranked 132nd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Preparatory for Early College High School is 56%. The total minority enrollment is 100%, and 97% of students are economically disadvantaged. Preparatory for Early College High School is 1 of 3 high schools in the Rio Grande City Grulla Isd.",Rio Grande City,TX,99.2,41.865,414,61.0,12.0,74.0,
1120,Babylon Junior-Senior High School,"Babylon Junior-Senior High School is ranked 111st within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Babylon Junior-Senior High School is 66%. The total minority enrollment is 25%, and 21% of students are economically disadvantaged. Babylon Junior-Senior High School is the only high school in the Babylon Union Free School District.",Babylon,NY,94.0,51.068,444,88.0,9.0,93.0,57.4025974
1121,Open World Learning Secondary,"Open World Learning Secondary is ranked 17th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Open World Learning Secondary is 54%. The total minority enrollment is 43%, and 33% of students are economically disadvantaged. Open World Learning Secondary is 1 of 24 high schools in the St. Paul Public School District.",Saint Paul,MN,82.98,40.104,259,39.0,20.0,82.0,59.47802198
1122,Oostburg High School,"Oostburg High School is ranked 28th within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Oostburg High School is 44%. The total minority enrollment is 10%, and 18% of students are economically disadvantaged. Oostburg High School is the only high school in the Oostburg School District.",Oostburg,WI,97.6,32.849,331,54.0,16.0,56.0,68.53618421
1123,Pembroke Pines Charter High School,"Pembroke Pines Charter High School is ranked 69th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pembroke Pines Charter High School is 67%. The total minority enrollment is 83%, and 30% of students are economically disadvantaged. Pembroke Pines Charter High School is 1 of 75 high schools in the Broward County Public Schools.",Pembroke Pines,FL,99.31507,54.034,1810,51.0,21.0,79.0,56.32522872
1124,Lakeridge High School,"Lakeridge High School is ranked eighth within Oregon. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Lakeridge High School is 69%. The total minority enrollment is 27%, and 6% of students are economically disadvantaged. Lakeridge High School is 1 of 3 high schools in the Lake Oswego School District 7J.",Lake Oswego,OR,96.88,58.981,1234,40.0,20.0,68.0,58.20707301
1125,Ridgeview Classical Charter Schools,Ridgeview Classical Charter Schools is ranked 33rd within Colorado. Students have the opportunity to take Advanced Placement&#174,Fort Collins,CO,80.64516,47.222,139,63.0,16.0,97.0,
1126,CSI High School for International Studies,"CSI High School for International Studies is ranked 112nd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at CSI High School for International Studies is 69%. The total minority enrollment is 60%, and 59% of students are economically disadvantaged. CSI High School for International Studies is 1 of 533 high schools in the New York City Public Schools.",Staten Island,NY,98.0,56.298,512,68.0,16.0,,55.11069813
1127,Crooms Academy of Information Technology,"Crooms Academy of Information Technology is ranked 70th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Crooms Academy of Information Technology is 63%. The total minority enrollment is 56%, and 41% of students are economically disadvantaged. Crooms Academy of Information Technology is 1 of 19 high schools in the Seminole County Public Schools.",Sanford,FL,98.58156,43.345,757,66.0,30.0,75.0,46.01866883
1128,Canton High School,"Canton High School is ranked 31st within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Canton High School is 50%. The total minority enrollment is 37%, and 18% of students are economically disadvantaged. Canton High School is 1 of 4 high schools in the Plymouth-Canton Community Schools.",Canton,MI,90.19,42.687,1880,61.0,20.0,72.0,71.06658011
1129,Chamblee Charter High School,"Chamblee Charter High School is ranked 33rd within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Chamblee Charter High School is 65%. The total minority enrollment is 66%, and 38% of students are economically disadvantaged. Chamblee Charter High School is 1 of 26 high schools in the DeKalb County School District.",Chamblee,GA,86.0,55.263,1776,30.0,16.0,62.0,60.13929264
1130,Hamilton-Wenham Regional High School,Hamilton-Wenham Regional High School is ranked 47th within Massachusetts. Students have the opportunity to take Advanced Placement&#174,South Hamilton,MA,96.9,54.735,450,77.0,11.0,77.0,60.18902439
